Sector,Weight,Ticker
Financials,0.4507725,SXR1
Gesundheitsversorgung,0.050329700000000005,SXR1
IT,0.0100523,SXR1
Immobilien,0.0778598,SXR1
Industrie,0.0911566,SXR1
Kommunikation,0.0276266,SXR1
Materialien,0.13418470000000002,SXR1
Nichtzyklische Konsumgüter,0.0268224,SXR1
Versorger,0.0349588,SXR1
Zyklische Konsumgüter,0.0740084,SXR1
Cash und/oder Derivate,0.0021197,SXR4
Energie,0.0291422,SXR4
Financials,0.133347,SXR4
Gesundheitsversorgung,0.0976119,SXR4
IT,0.3346813,SXR4
Immobilien,0.0182228,SXR4
Industrie,0.0852773,SXR4
Kommunikation,0.1066056,SXR4
Materialien,0.019300499999999998,SXR4
Nichtzyklische Konsumgüter,0.045689600000000004,SXR4
Versorger,0.0213209,SXR4
Zyklische Konsumgüter,0.10668050000000001,SXR4
Cash und/oder Derivate,0.0041251,SXRV
Energie,0.004992,SXRV
Financials,0.0029635,SXRV
Gesundheitsversorgung,0.0545965,SXRV
IT,0.5238458,SXRV
Immobilien,0.0014136,SXRV
Industrie,0.0430052,SXRV
Kommunikation,0.1586649,SXRV
Materialien,0.0111595,SXRV
Nichtzyklische Konsumgüter,0.0460018,SXRV
Versorger,0.013585400000000001,SXRV
Zyklische Konsumgüter,0.1356464,SXRV
Cash und/oder Derivate,0.0062123,SXRZ
Energie,0.0030199,SXRZ
Financials,0.0324741,SXRZ
Gesundheitsversorgung,0.081052,SXRZ
IT,0.2883496,SXRZ
Immobilien,0.0170775,SXRZ
Industrie,0.1837085,SXRZ
Kommunikation,0.119864,SXRZ
Materialien,0.0449008,SXRZ
Nichtzyklische Konsumgüter,0.0390944,SXRZ
Versorger,0.0018541999999999999,SXRZ
Zyklische Konsumgüter,0.182392,SXRZ
Cash und/oder Derivate,0.0021745000000000002,SXR8
Energie,0.0288441,SXR8
Financials,0.1348462,SXR8
Gesundheitsversorgung,0.09670959999999999,SXR8
IT,0.3367053,SXR8
Immobilien,0.0180866,SXR8
Industrie,0.0832094,SXR8
Kommunikation,0.1055804,SXR8
Materialien,0.018894,SXR8
Nichtzyklische Konsumgüter,0.0469261,SXR8
Versorger,0.0218085,SXR8
Zyklische Konsumgüter,0.1062137,SXR8
Cash und/oder Derivate,0.005409,IS3N
Energie,0.033751,IS3N
Financials,0.2089049,IS3N
Gesundheitsversorgung,0.0404501,IS3N
IT,0.2785171,IS3N
Immobilien,0.018921300000000002,IS3N
Industrie,0.0826996,IS3N
Kommunikation,0.08402470000000001,IS3N
Materialien,0.0735129,IS3N
Nichtzyklische Konsumgüter,0.0382813,IS3N
Sonstige,5.500000000000001e-06,IS3N
Versorger,0.0227376,IS3N
Zyklische Konsumgüter,0.112786,IS3N
Cash und/oder Derivate,0.0036118000000000005,IS3S
Energie,0.030815099999999998,IS3S
Financials,0.1705509,IS3S
Gesundheitsversorgung,0.0985054,IS3S
IT,0.2800796,IS3S
Immobilien,0.0176551,IS3S
Industrie,0.11192780000000001,IS3S
Kommunikation,0.0800188,IS3S
Materialien,0.0326256,IS3S
Nichtzyklische Konsumgüter,0.0490375,IS3S
Versorger,0.0255172,IS3S
Zyklische Konsumgüter,0.0996556,IS3S
Cash und/oder Derivate,0.0030298,IS3R
Energie,0.0051285,IS3R
Financials,0.2413793,IS3R
Gesundheitsversorgung,0.033665099999999996,IS3R
IT,0.3403618,IS3R
Immobilien,0.0102129,IS3R
Industrie,0.1892618,IS3R
Kommunikation,0.0665218,IS3R
Materialien,0.0314409,IS3R
Nichtzyklische Konsumgüter,0.0161168,IS3R
Versorger,0.0286724,IS3R
Zyklische Konsumgüter,0.0342096,IS3R
Cash und/oder Derivate,0.003012,IS3Q
Energie,0.0352943,IS3Q
Financials,0.1630181,IS3Q
Gesundheitsversorgung,0.1015967,IS3Q
IT,0.2706688,IS3Q
Immobilien,0.0180861,IS3Q
Industrie,0.1108223,IS3Q
Kommunikation,0.08570559999999999,IS3Q
Materialien,0.0323965,IS3Q
Nichtzyklische Konsumgüter,0.0512165,IS3Q
Versorger,0.026210499999999998,IS3Q
Zyklische Konsumgüter,0.1019727,IS3Q
Cash und/oder Derivate,0.0072488,CEMS
Energie,0.0397928,CEMS
Financials,0.241629,CEMS
Gesundheitsversorgung,0.13893,CEMS
IT,0.0723978,CEMS
Immobilien,0.0071039,CEMS
Industrie,0.1919454,CEMS
Kommunikation,0.035985100000000006,CEMS
Materialien,0.0541104,CEMS
Nichtzyklische Konsumgüter,0.0860443,CEMS
Versorger,0.0454228,CEMS
Zyklische Konsumgüter,0.0793896,CEMS
Cash und/oder Derivate,0.001482,36BZ
Energie,0.0286579,36BZ
Financials,0.2185494,36BZ
Gesundheitsversorgung,0.0500745,36BZ
IT,0.2285541,36BZ
Immobilien,0.0077283000000000004,36BZ
Industrie,0.1564293,36BZ
Kommunikation,0.013147800000000001,36BZ
Materialien,0.1167456,36BZ
Nichtzyklische Konsumgüter,0.0844352,36BZ
Versorger,0.0356801,36BZ
Zyklische Konsumgüter,0.0585148,36BZ
Cash und/oder Derivate,0.0023791,QDVG
Gesundheitsversorgung,0.9976214,QDVG
Cash und/oder Derivate,0.0016687,QDVE
IT,0.9983309,QDVE
Cash und/oder Derivate,0.0029569,QDVH
Financials,0.9970433,QDVH
Cash und/oder Derivate,0.0026861999999999997,QDVR
Financials,0.1386871,QDVR
Gesundheitsversorgung,0.09630219999999999,QDVR
IT,0.354487,QDVR
Immobilien,0.0174765,QDVR
Industrie,0.0895673,QDVR
Kommunikation,0.0923138,QDVR
Materialien,0.0279809,QDVR
Nichtzyklische Konsumgüter,0.051906,QDVR
Versorger,0.013027400000000001,QDVR
Zyklische Konsumgüter,0.1155661,QDVR
Cash und/oder Derivate,0.0043186,QDVS
Financials,0.2424406,QDVS
Gesundheitsversorgung,0.0394344,QDVS
IT,0.2795143,QDVS
Immobilien,0.0182761,QDVS
Industrie,0.0744874,QDVS
Kommunikation,0.0981191,QDVS
Materialien,0.06760290000000001,QDVS
Nichtzyklische Konsumgüter,0.0409459,QDVS
Versorger,0.0134176,QDVS
Zyklische Konsumgüter,0.1214428,QDVS
Cash und/oder Derivate,0.0022641,2B76
Gesundheitsversorgung,0.026643,2B76
IT,0.6736727,2B76
Industrie,0.2714759,2B76
Materialien,0.0008746,2B76
Zyklische Konsumgüter,0.025070600000000002,2B76
Cash und/oder Derivate,0.0023493,QDVI
Energie,0.027304000000000002,QDVI
Financials,0.1316974,QDVI
Gesundheitsversorgung,0.0962068,QDVI
IT,0.3585576,QDVI
Immobilien,0.017793,QDVI
Industrie,0.0851746,QDVI
Kommunikation,0.09245830000000001,QDVI
Materialien,0.0189211,QDVI
Nichtzyklische Konsumgüter,0.0434644,QDVI
Versorger,0.0206479,QDVI
Zyklische Konsumgüter,0.105426,QDVI
Cash und/oder Derivate,0.009641,OM3X
